wvlng	cf 1	basel	cf 2	cf 3
315,00	3,169	0,000	1,028	3,316
314,00	3,172	0,000	1,026	3,320
313,00	3,175	0,000	1,022	3,319
312,00	3,178	0,001	1,019	3,323
311,00	3,181	0,000	1,014	3,330
310,00	3,184	0,000	1,009	3,325
309,00	3,187	0,000	1,004	3,337
308,00	3,188	0,000	0,999	3,342
307,00	3,193	0,001	0,993	3,343
306,00	3,200	0,000	0,987	3,348
305,00	3,483	0,000	0,982	3,524
304,00	3,488	0,000	0,977	3,524
303,00	3,493	0,000	0,974	3,532
302,00	3,495	0,000	0,972	3,532
301,00	3,501	0,000	0,970	3,533
300,00	3,500	0,000	0,967	3,531
299,00	3,507	0,000	0,964	3,542
298,00	3,515	0,000	0,960	3,542
297,00	3,518	0,000	0,956	3,553
296,00	3,507	0,001	0,954	3,549
295,00	3,518	0,001	0,951	3,557
294,00	3,526	0,000	0,951	3,552
293,00	3,527	0,001	0,951	3,553
292,00	3,529	0,001	0,952	3,562
291,00	3,533	0,000	0,951	3,577
290,00	3,539	0,001	0,947	3,576
289,00	3,544	0,001	0,940	3,585
288,00	3,550	0,001	0,931	3,585
287,00	3,555	0,001	0,924	3,586
286,00	3,557	0,001	0,920	3,590
285,00	3,563	0,001	0,919	3,593
284,00	3,564	0,001	0,919	3,597
283,00	3,568	0,001	0,916	3,599
282,00	3,570	0,001	0,915	3,603
281,00	3,576	0,001	0,912	3,611
280,00	3,579	0,001	0,910	3,612
279,00	3,587	0,001	0,909	3,612
278,00	3,589	0,001	0,909	3,622
277,00	3,591	0,001	0,912	3,628
276,00	3,597	0,001	0,918	3,632
275,00	3,599	0,001	0,928	3,630
274,00	3,605	0,001	0,940	3,642
273,00	3,605	0,001	0,952	3,638
272,00	3,611	0,001	0,964	3,638
271,00	3,620	0,001	0,977	3,645
270,00	3,626	0,001	0,988	3,659
269,00	3,633	0,001	0,998	3,652
268,00	3,625	0,001	1,006	3,656
267,00	3,631	0,001	1,011	3,662
266,00	3,639	0,001	1,016	3,666
265,00	3,647	0,001	1,018	3,669
264,00	3,652	0,001	1,019	3,674
263,00	3,649	0,001	1,018	3,666
262,00	3,649	0,001	1,016	3,670
261,00	3,648	0,001	1,015	3,670
260,00	3,649	0,001	1,014	3,670
259,00	3,650	0,001	1,012	3,682
258,00	3,640	0,001	1,010	3,668
257,00	3,647	0,001	1,006	3,671
256,00	3,643	0,002	1,002	3,665
255,00	3,638	0,002	0,997	3,657
254,00	3,651	0,002	0,993	3,666
253,00	3,637	0,002	0,990	3,653
252,00	3,635	0,002	0,987	3,645
251,00	3,632	0,002	0,985	3,641
250,00	3,629	0,002	0,983	3,644
249,00	3,616	0,002	0,984	3,631
248,00	3,616	0,002	0,986	3,629
247,00	3,614	0,002	0,989	3,627
246,00	3,603	0,003	0,994	3,621
245,00	3,597	0,002	1,001	3,619
244,00	3,594	0,002	1,011	3,601
243,00	3,591	0,002	1,023	3,598
242,00	3,590	0,003	1,038	3,603
241,00	3,574	0,002	1,055	3,598
240,00	3,564	0,003	1,077	3,586
239,00	3,564	0,003	1,103	3,573
238,00	3,561	0,003	1,134	3,565
237,00	3,549	0,003	1,166	3,557
236,00	3,531	0,003	1,201	3,548
235,00	3,532	0,003	1,245	3,544
234,00	3,527	0,003	1,292	3,541
233,00	3,511	0,003	1,345	3,526
232,00	3,497	0,003	1,406	3,515
231,00	3,487	0,003	1,478	3,500
230,00	3,474	0,003	1,561	3,494
229,00	3,472	0,003	1,654	3,481
228,00	3,453	0,003	1,757	3,469
227,00	3,433	0,003	1,861	3,460
226,00	3,416	0,003	1,964	3,437
225,00	3,392	0,003	2,064	3,421
